O*NET-SOC Code	Title	Element ID	Element Name	Data Value
11-1011.03	Chief Sustainability Officers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	2.0
11-1011.03	Chief Sustainability Officers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.41
11-1011.03	Chief Sustainability Officers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.48
11-1011.03	Chief Sustainability Officers	4.A.3.b.6	Documenting/Recording Information	3.44
11-1011.03	Chief Sustainability Officers	4.A.4.a.1	Interpreting the Meaning of Information for Others	4.44
11-1011.03	Chief Sustainability Officers	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.81
11-1011.03	Chief Sustainability Officers	4.A.4.a.3	Communicating with People Outside the Organization	4.48
11-1011.03	Chief Sustainability Officers	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.67
11-1011.03	Chief Sustainability Officers	4.A.4.a.5	Assisting and Caring for Others	2.74
11-1011.03	Chief Sustainability Officers	4.A.4.a.6	Selling or Influencing Others	4.11
11-1011.03	Chief Sustainability Officers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	3.44
11-1011.03	Chief Sustainability Officers	4.A.4.a.8	Performing for or Working Directly with the Public	3.56
11-1011.03	Chief Sustainability Officers	4.A.4.b.1	Coordinating the Work and Activities of Others	4.07
11-1011.03	Chief Sustainability Officers	4.A.4.b.2	Developing and Building Teams	4.19
11-1011.03	Chief Sustainability Officers	4.A.4.b.3	Training and Teaching Others	3.63
11-1011.03	Chief Sustainability Officers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	3.78
11-1011.03	Chief Sustainability Officers	4.A.4.b.5	Coaching and Developing Others	3.93
11-1011.03	Chief Sustainability Officers	4.A.4.b.6	Providing Consultation and Advice to Others	3.93
11-1011.03	Chief Sustainability Officers	4.A.4.c.1	Performing Administrative Activities	3.3
11-1011.03	Chief Sustainability Officers	4.A.4.c.2	Staffing Organizational Units	3.26
11-1011.03	Chief Sustainability Officers	4.A.4.c.3	Monitoring and Controlling Resources	3.88
11-1021.00	General and Operations Managers	4.A.1.a.1	Getting Information	4.42
11-1021.00	General and Operations Managers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.91
11-1021.00	General and Operations Managers	4.A.1.b.1	Identifying Objects, Actions, and Events	4.22
11-1021.00	General and Operations Managers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.62
11-1021.00	General and Operations Managers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	3.23
11-1021.00	General and Operations Managers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	4.1
11-1021.00	General and Operations Managers	4.A.2.a.2	Processing Information	4.08
11-1021.00	General and Operations Managers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	3.59
11-1021.00	General and Operations Managers	4.A.2.a.4	Analyzing Data or Information	4.04
11-1021.00	General and Operations Managers	4.A.2.b.1	Making Decisions and Solving Problems	4.33
11-1021.00	General and Operations Managers	4.A.2.b.2	Thinking Creatively	3.7
11-1021.00	General and Operations Managers	4.A.2.b.3	Updating and Using Relevant Knowledge	3.8
11-1021.00	General and Operations Managers	4.A.2.b.4	Developing Objectives and Strategies	3.84
11-1021.00	General and Operations Managers	4.A.2.b.5	Scheduling Work and Activities	3.81
11-1021.00	General and Operations Managers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.2
11-1021.00	General and Operations Managers	4.A.3.a.1	Performing General Physical Activities	2.11
