O*NET-SOC Code	Title	Element ID	Element Name	Data Value
21-1014.00	Mental Health Counselors	4.A.3.a.1	Performing General Physical Activities	1.61
21-1014.00	Mental Health Counselors	4.A.3.a.2	Handling and Moving Objects	1.32
21-1014.00	Mental Health Counselors	4.A.3.a.3	Controlling Machines and Processes	1.32
21-1014.00	Mental Health Counselors	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	1.21
21-1014.00	Mental Health Counselors	4.A.3.b.1	Working with Computers	3.86
21-1014.00	Mental Health Counselors	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.07
21-1014.00	Mental Health Counselors	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.07
21-1014.00	Mental Health Counselors	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.61
21-1014.00	Mental Health Counselors	4.A.3.b.6	Documenting/Recording Information	4.5
21-1014.00	Mental Health Counselors	4.A.4.a.1	Interpreting the Meaning of Information for Others	4.11
21-1014.00	Mental Health Counselors	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.14
21-1014.00	Mental Health Counselors	4.A.4.a.3	Communicating with People Outside the Organization	3.96
21-1014.00	Mental Health Counselors	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.64
21-1014.00	Mental Health Counselors	4.A.4.a.5	Assisting and Caring for Others	4.86
21-1014.00	Mental Health Counselors	4.A.4.a.6	Selling or Influencing Others	2.07
21-1014.00	Mental Health Counselors	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	4.04
21-1014.00	Mental Health Counselors	4.A.4.a.8	Performing for or Working Directly with the Public	4.18
21-1014.00	Mental Health Counselors	4.A.4.b.1	Coordinating the Work and Activities of Others	2.54
21-1014.00	Mental Health Counselors	4.A.4.b.2	Developing and Building Teams	2.61
21-1014.00	Mental Health Counselors	4.A.4.b.3	Training and Teaching Others	3.52
21-1014.00	Mental Health Counselors	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	2.61
21-1014.00	Mental Health Counselors	4.A.4.b.5	Coaching and Developing Others	4.0
21-1014.00	Mental Health Counselors	4.A.4.b.6	Providing Consultation and Advice to Others	3.93
21-1014.00	Mental Health Counselors	4.A.4.c.1	Performing Administrative Activities	3.89
21-1014.00	Mental Health Counselors	4.A.4.c.2	Staffing Organizational Units	1.93
21-1014.00	Mental Health Counselors	4.A.4.c.3	Monitoring and Controlling Resources	2.39
21-1015.00	Rehabilitation Counselors	4.A.1.a.1	Getting Information	4.25
21-1015.00	Rehabilitation Counselors	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.72
21-1015.00	Rehabilitation Counselors	4.A.1.b.1	Identifying Objects, Actions, and Events	3.18
21-1015.00	Rehabilitation Counselors	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.37
21-1015.00	Rehabilitation Counselors	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.48
21-1015.00	Rehabilitation Counselors	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.72
21-1015.00	Rehabilitation Counselors	4.A.2.a.2	Processing Information	3.73
21-1015.00	Rehabilitation Counselors	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	4.1
21-1015.00	Rehabilitation Counselors	4.A.2.a.4	Analyzing Data or Information	3.21
21-1015.00	Rehabilitation Counselors	4.A.2.b.1	Making Decisions and Solving Problems	4.45
21-1015.00	Rehabilitation Counselors	4.A.2.b.2	Thinking Creatively	3.63
21-1015.00	Rehabilitation Counselors	4.A.2.b.3	Updating and Using Relevant Knowledge	3.58
21-1015.00	Rehabilitation Counselors	4.A.2.b.4	Developing Objectives and Strategies	3.58
21-1015.00	Rehabilitation Counselors	4.A.2.b.5	Scheduling Work and Activities	3.97
21-1015.00	Rehabilitation Counselors	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.1
21-1015.00	Rehabilitation Counselors	4.A.3.a.1	Performing General Physical Activities	2.16
21-1015.00	Rehabilitation Counselors	4.A.3.a.2	Handling and Moving Objects	2.17
21-1015.00	Rehabilitation Counselors	4.A.3.a.3	Controlling Machines and Processes	1.57
21-1015.00	Rehabilitation Counselors	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.37
21-1015.00	Rehabilitation Counselors	4.A.3.b.1	Working with Computers	4.15
21-1015.00	Rehabilitation Counselors	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.55
21-1015.00	Rehabilitation Counselors	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.39
21-1015.00	Rehabilitation Counselors	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.3
21-1015.00	Rehabilitation Counselors	4.A.3.b.6	Documenting/Recording Information	4.35
21-1015.00	Rehabilitation Counselors	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.71
21-1015.00	Rehabilitation Counselors	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.5
21-1015.00	Rehabilitation Counselors	4.A.4.a.3	Communicating with People Outside the Organization	4.32
21-1015.00	Rehabilitation Counselors	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.44
21-1015.00	Rehabilitation Counselors	4.A.4.a.5	Assisting and Caring for Others	3.7
21-1015.00	Rehabilitation Counselors	4.A.4.a.6	Selling or Influencing Others	2.99
21-1015.00	Rehabilitation Counselors	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	3.69
21-1015.00	Rehabilitation Counselors	4.A.4.a.8	Performing for or Working Directly with the Public	3.7
21-1015.00	Rehabilitation Counselors	4.A.4.b.1	Coordinating the Work and Activities of Others	3.37
21-1015.00	Rehabilitation Counselors	4.A.4.b.2	Developing and Building Teams	3.61
21-1015.00	Rehabilitation Counselors	4.A.4.b.3	Training and Teaching Others	3.72
21-1015.00	Rehabilitation Counselors	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	3.45
21-1015.00	Rehabilitation Counselors	4.A.4.b.5	Coaching and Developing Others	3.69
21-1015.00	Rehabilitation Counselors	4.A.4.b.6	Providing Consultation and Advice to Others	3.4
21-1015.00	Rehabilitation Counselors	4.A.4.c.1	Performing Administrative Activities	3.48
21-1015.00	Rehabilitation Counselors	4.A.4.c.2	Staffing Organizational Units	2.66
21-1015.00	Rehabilitation Counselors	4.A.4.c.3	Monitoring and Controlling Resources	2.79
21-1021.00	Child, Family, and School Social Workers	4.A.1.a.1	Getting Information	4.58
21-1021.00	Child, Family, and School Social Workers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.98
21-1021.00	Child, Family, and School Social Workers	4.A.1.b.1	Identifying Objects, Actions, and Events	4.5
21-1021.00	Child, Family, and School Social Workers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.66
21-1021.00	Child, Family, and School Social Workers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.02
21-1021.00	Child, Family, and School Social Workers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.42
21-1021.00	Child, Family, and School Social Workers	4.A.2.a.2	Processing Information	3.71
21-1021.00	Child, Family, and School Social Workers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	4.14
21-1021.00	Child, Family, and School Social Workers	4.A.2.a.4	Analyzing Data or Information	2.78
21-1021.00	Child, Family, and School Social Workers	4.A.2.b.1	Making Decisions and Solving Problems	4.4
21-1021.00	Child, Family, and School Social Workers	4.A.2.b.2	Thinking Creatively	4.04
21-1021.00	Child, Family, and School Social Workers	4.A.2.b.3	Updating and Using Relevant Knowledge	3.94
21-1021.00	Child, Family, and School Social Workers	4.A.2.b.4	Developing Objectives and Strategies	4.04
21-1021.00	Child, Family, and School Social Workers	4.A.2.b.5	Scheduling Work and Activities	3.57
21-1021.00	Child, Family, and School Social Workers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.21
21-1021.00	Child, Family, and School Social Workers	4.A.3.a.1	Performing General Physical Activities	2.05
21-1021.00	Child, Family, and School Social Workers	4.A.3.a.2	Handling and Moving Objects	1.61
21-1021.00	Child, Family, and School Social Workers	4.A.3.a.3	Controlling Machines and Processes	1.28
21-1021.00	Child, Family, and School Social Workers	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.62
21-1021.00	Child, Family, and School Social Workers	4.A.3.b.1	Working with Computers	4.41
21-1021.00	Child, Family, and School Social Workers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.07
21-1021.00	Child, Family, and School Social Workers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.0
21-1021.00	Child, Family, and School Social Workers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.36
21-1021.00	Child, Family, and School Social Workers	4.A.3.b.6	Documenting/Recording Information	4.58
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.92
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.7
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.3	Communicating with People Outside the Organization	4.48
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.71
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.5	Assisting and Caring for Others	4.42
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.6	Selling or Influencing Others	3.62
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	4.18
21-1021.00	Child, Family, and School Social Workers	4.A.4.a.8	Performing for or Working Directly with the Public	4.42
21-1021.00	Child, Family, and School Social Workers	4.A.4.b.1	Coordinating the Work and Activities of Others	3.76
21-1021.00	Child, Family, and School Social Workers	4.A.4.b.2	Developing and Building Teams	4.07
21-1021.00	Child, Family, and School Social Workers	4.A.4.b.3	Training and Teaching Others	3.72
21-1021.00	Child, Family, and School Social Workers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	2.55
21-1021.00	Child, Family, and School Social Workers	4.A.4.b.5	Coaching and Developing Others	3.82
21-1021.00	Child, Family, and School Social Workers	4.A.4.b.6	Providing Consultation and Advice to Others	3.06
21-1021.00	Child, Family, and School Social Workers	4.A.4.c.1	Performing Administrative Activities	3.74
21-1021.00	Child, Family, and School Social Workers	4.A.4.c.2	Staffing Organizational Units	1.77
21-1021.00	Child, Family, and School Social Workers	4.A.4.c.3	Monitoring and Controlling Resources	2.34
21-1022.00	Healthcare Social Workers	4.A.1.a.1	Getting Information	4.48
21-1022.00	Healthcare Social Workers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.48
21-1022.00	Healthcare Social Workers	4.A.1.b.1	Identifying Objects, Actions, and Events	3.33
21-1022.00	Healthcare Social Workers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	1.81
21-1022.00	Healthcare Social Workers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.11
21-1022.00	Healthcare Social Workers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.22
21-1022.00	Healthcare Social Workers	4.A.2.a.2	Processing Information	3.0
21-1022.00	Healthcare Social Workers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	3.19
21-1022.00	Healthcare Social Workers	4.A.2.a.4	Analyzing Data or Information	2.93
21-1022.00	Healthcare Social Workers	4.A.2.b.1	Making Decisions and Solving Problems	4.22
21-1022.00	Healthcare Social Workers	4.A.2.b.2	Thinking Creatively	3.52
21-1022.00	Healthcare Social Workers	4.A.2.b.3	Updating and Using Relevant Knowledge	3.81
21-1022.00	Healthcare Social Workers	4.A.2.b.4	Developing Objectives and Strategies	3.37
21-1022.00	Healthcare Social Workers	4.A.2.b.5	Scheduling Work and Activities	3.44
21-1022.00	Healthcare Social Workers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.15
21-1022.00	Healthcare Social Workers	4.A.3.a.1	Performing General Physical Activities	2.0
21-1022.00	Healthcare Social Workers	4.A.3.a.2	Handling and Moving Objects	1.7
21-1022.00	Healthcare Social Workers	4.A.3.a.3	Controlling Machines and Processes	1.38
21-1022.00	Healthcare Social Workers	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.11
21-1022.00	Healthcare Social Workers	4.A.3.b.1	Working with Computers	3.85
21-1022.00	Healthcare Social Workers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.31
21-1022.00	Healthcare Social Workers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.22
21-1022.00	Healthcare Social Workers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.35
21-1022.00	Healthcare Social Workers	4.A.3.b.6	Documenting/Recording Information	4.33
21-1022.00	Healthcare Social Workers	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.81
21-1022.00	Healthcare Social Workers	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.44
21-1022.00	Healthcare Social Workers	4.A.4.a.3	Communicating with People Outside the Organization	4.3
21-1022.00	Healthcare Social Workers	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.52
21-1022.00	Healthcare Social Workers	4.A.4.a.5	Assisting and Caring for Others	4.7
21-1022.00	Healthcare Social Workers	4.A.4.a.6	Selling or Influencing Others	2.44
21-1022.00	Healthcare Social Workers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	4.22
21-1022.00	Healthcare Social Workers	4.A.4.a.8	Performing for or Working Directly with the Public	4.04
21-1022.00	Healthcare Social Workers	4.A.4.b.1	Coordinating the Work and Activities of Others	3.52
21-1022.00	Healthcare Social Workers	4.A.4.b.2	Developing and Building Teams	3.59
21-1022.00	Healthcare Social Workers	4.A.4.b.3	Training and Teaching Others	3.48
21-1022.00	Healthcare Social Workers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	2.96
21-1022.00	Healthcare Social Workers	4.A.4.b.5	Coaching and Developing Others	3.44
21-1022.00	Healthcare Social Workers	4.A.4.b.6	Providing Consultation and Advice to Others	3.56
21-1022.00	Healthcare Social Workers	4.A.4.c.1	Performing Administrative Activities	3.11
21-1022.00	Healthcare Social Workers	4.A.4.c.2	Staffing Organizational Units	2.56
21-1022.00	Healthcare Social Workers	4.A.4.c.3	Monitoring and Controlling Resources	2.56
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.1.a.1	Getting Information	4.34
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.5
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.1.b.1	Identifying Objects, Actions, and Events	4.18
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	1.63
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.62
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.82
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.a.2	Processing Information	4.04
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	4.15
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.a.4	Analyzing Data or Information	3.54
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.b.1	Making Decisions and Solving Problems	4.48
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.b.2	Thinking Creatively	3.9
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.b.3	Updating and Using Relevant Knowledge	3.99
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.b.4	Developing Objectives and Strategies	4.17
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.b.5	Scheduling Work and Activities	3.89
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.32
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.a.1	Performing General Physical Activities	1.87
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.a.2	Handling and Moving Objects	1.72
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.a.3	Controlling Machines and Processes	1.7
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.02
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.b.1	Working with Computers	3.87
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.48
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.32
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.42
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.3.b.6	Documenting/Recording Information	4.57
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.95
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.57
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.3	Communicating with People Outside the Organization	4.1
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.45
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.5	Assisting and Caring for Others	4.57
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.6	Selling or Influencing Others	2.85
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	4.21
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.a.8	Performing for or Working Directly with the Public	3.07
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.b.1	Coordinating the Work and Activities of Others	2.63
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.b.2	Developing and Building Teams	3.1
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.b.3	Training and Teaching Others	3.78
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	3.39
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.b.5	Coaching and Developing Others	3.72
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.b.6	Providing Consultation and Advice to Others	4.19
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.c.1	Performing Administrative Activities	3.02
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.c.2	Staffing Organizational Units	1.91
21-1023.00	Mental Health and Substance Abuse Social Workers	4.A.4.c.3	Monitoring and Controlling Resources	2.45
21-1091.00	Health Education Specialists	4.A.1.a.1	Getting Information	4.53
21-1091.00	Health Education Specialists	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.51
21-1091.00	Health Education Specialists	4.A.1.b.1	Identifying Objects, Actions, and Events	4.26
21-1091.00	Health Education Specialists	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.41
21-1091.00	Health Education Specialists	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	3.15
21-1091.00	Health Education Specialists	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	4.19
21-1091.00	Health Education Specialists	4.A.2.a.2	Processing Information	4.14
21-1091.00	Health Education Specialists	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	3.63
21-1091.00	Health Education Specialists	4.A.2.a.4	Analyzing Data or Information	4.08
21-1091.00	Health Education Specialists	4.A.2.b.1	Making Decisions and Solving Problems	4.35
21-1091.00	Health Education Specialists	4.A.2.b.2	Thinking Creatively	4.13
21-1091.00	Health Education Specialists	4.A.2.b.3	Updating and Using Relevant Knowledge	4.68
21-1091.00	Health Education Specialists	4.A.2.b.4	Developing Objectives and Strategies	4.08
21-1091.00	Health Education Specialists	4.A.2.b.5	Scheduling Work and Activities	4.42
21-1091.00	Health Education Specialists	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.36
21-1091.00	Health Education Specialists	4.A.3.a.1	Performing General Physical Activities	2.63
21-1091.00	Health Education Specialists	4.A.3.a.2	Handling and Moving Objects	2.73
21-1091.00	Health Education Specialists	4.A.3.a.3	Controlling Machines and Processes	2.51
21-1091.00	Health Education Specialists	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.24
21-1091.00	Health Education Specialists	4.A.3.b.1	Working with Computers	4.19
21-1091.00	Health Education Specialists	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.65
21-1091.00	Health Education Specialists	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.61
21-1091.00	Health Education Specialists	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	2.04
21-1091.00	Health Education Specialists	4.A.3.b.6	Documenting/Recording Information	4.05
21-1091.00	Health Education Specialists	4.A.4.a.1	Interpreting the Meaning of Information for Others	4.52
21-1091.00	Health Education Specialists	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.8
21-1091.00	Health Education Specialists	4.A.4.a.3	Communicating with People Outside the Organization	4.49
21-1091.00	Health Education Specialists	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.72
21-1091.00	Health Education Specialists	4.A.4.a.5	Assisting and Caring for Others	4.01
21-1091.00	Health Education Specialists	4.A.4.a.6	Selling or Influencing Others	3.43
21-1091.00	Health Education Specialists	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	3.77
21-1091.00	Health Education Specialists	4.A.4.a.8	Performing for or Working Directly with the Public	4.43
21-1091.00	Health Education Specialists	4.A.4.b.1	Coordinating the Work and Activities of Others	3.21
21-1091.00	Health Education Specialists	4.A.4.b.2	Developing and Building Teams	4.23
21-1091.00	Health Education Specialists	4.A.4.b.3	Training and Teaching Others	4.44
21-1091.00	Health Education Specialists	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	2.99
21-1091.00	Health Education Specialists	4.A.4.b.5	Coaching and Developing Others	3.24
21-1091.00	Health Education Specialists	4.A.4.b.6	Providing Consultation and Advice to Others	3.53
21-1091.00	Health Education Specialists	4.A.4.c.1	Performing Administrative Activities	3.4
21-1091.00	Health Education Specialists	4.A.4.c.2	Staffing Organizational Units	2.12
21-1091.00	Health Education Specialists	4.A.4.c.3	Monitoring and Controlling Resources	3.6
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.1.a.1	Getting Information	4.75
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.84
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.1.b.1	Identifying Objects, Actions, and Events	4.25
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	3.12
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.57
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.9
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.a.2	Processing Information	3.79
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	4.37
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.a.4	Analyzing Data or Information	3.36
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.b.1	Making Decisions and Solving Problems	4.3
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.b.2	Thinking Creatively	3.25
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.b.3	Updating and Using Relevant Knowledge	3.95
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.b.4	Developing Objectives and Strategies	3.47
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.b.5	Scheduling Work and Activities	3.91
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.33
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.a.1	Performing General Physical Activities	2.63
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.a.2	Handling and Moving Objects	1.99
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.a.3	Controlling Machines and Processes	1.89
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	2.81
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.b.1	Working with Computers	4.19
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.67
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.66
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.98
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.3.b.6	Documenting/Recording Information	4.45
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.58
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.44
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.3	Communicating with People Outside the Organization	3.94
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.07
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.5	Assisting and Caring for Others	3.65
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.6	Selling or Influencing Others	2.91
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	3.8
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.a.8	Performing for or Working Directly with the Public	3.63
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.b.1	Coordinating the Work and Activities of Others	3.15
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.b.2	Developing and Building Teams	3.2
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.b.3	Training and Teaching Others	3.3
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	2.95
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.b.5	Coaching and Developing Others	3.48
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.b.6	Providing Consultation and Advice to Others	3.39
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.c.1	Performing Administrative Activities	3.38
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.c.2	Staffing Organizational Units	2.51
21-1092.00	Probation Officers and Correctional Treatment Specialists	4.A.4.c.3	Monitoring and Controlling Resources	2.67
21-1093.00	Social and Human Service Assistants	4.A.1.a.1	Getting Information	4.29
21-1093.00	Social and Human Service Assistants	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.43
21-1093.00	Social and Human Service Assistants	4.A.1.b.1	Identifying Objects, Actions, and Events	3.66
21-1093.00	Social and Human Service Assistants	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	2.45
21-1093.00	Social and Human Service Assistants	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.96
21-1093.00	Social and Human Service Assistants	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.48
21-1093.00	Social and Human Service Assistants	4.A.2.a.2	Processing Information	3.26
